ID:,DF692435CB1C3125,,,,
Temperature Unit of Measure is Celsius,,,,,
Date format is MM/DD/YYYY,,,,,
Start Time and Date,,10:00,1/20/2021,,
Stop Time and Date,,16:45,2/3/2021,,
,,,,,
Minimum Temperature,,,,,
P1,2.31,13:57,1/27/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Maximum Temperature,,,,,
P1,6.1,14:08,1/29/2021,,
P2,  --.--,--:--,--/--/----,,
,,,,,
Alarm Event Data,,,,,
Probe,Temp,Time Out,Date Out,Time In,Date In
,,,,,
Temperature Data,,,,,
P1,P2,Time,Date,,
2.56, --.--,21:30,1/30/2021,,
3.17, --.--,21:15,1/30/2021,,
4.23, --.--,21:00,1/30/2021,,
5.19, --.--,20:45,1/30/2021,,
5.96, --.--,20:30,1/30/2021,,
4.7, --.--,20:15,1/30/2021,,
2.89, --.--,20:00,1/30/2021,,
2.84, --.--,19:45,1/30/2021,,
3.88, --.--,19:30,1/30/2021,,
4.94, --.--,19:15,1/30/2021,,
5.87, --.--,19:00,1/30/2021,,
5.07, --.--,18:45,1/30/2021,,
2.98, --.--,18:30,1/30/2021,,
3.02, --.--,18:15,1/30/2021,,
4.3, --.--,18:00,1/30/2021,,
5.44, --.--,17:45,1/30/2021,,
5.8, --.--,17:30,1/30/2021,,
3.45, --.--,17:15,1/30/2021,,
2.85, --.--,17:00,1/30/2021,,
4.11, --.--,16:45,1/30/2021,,
5.3, --.--,16:30,1/30/2021,,
5.93, --.--,16:15,1/30/2021,,
3.74, --.--,16:00,1/30/2021,,
2.73, --.--,15:45,1/30/2021,,
3.9, --.--,15:30,1/30/2021,,
5.1, --.--,15:15,1/30/2021,,
6.01, --.--,15:00,1/30/2021,,
4.28, --.--,14:45,1/30/2021,,
2.6, --.--,14:30,1/30/2021,,
3.62, --.--,14:15,1/30/2021,,
4.85, --.--,14:00,1/30/2021,,
5.88, --.--,13:45,1/30/2021,,
4.86, --.--,13:30,1/30/2021,,
2.61, --.--,13:15,1/30/2021,,
3.42, --.--,13:00,1/30/2021,,
4.71, --.--,12:45,1/30/2021,,
5.8, --.--,12:30,1/30/2021,,
4.96, --.--,12:15,1/30/2021,,
2.65, --.--,12:00,1/30/2021,,
3.41, --.--,11:45,1/30/2021,,
4.71, --.--,11:30,1/30/2021,,
5.81, --.--,11:15,1/30/2021,,
4.96, --.--,11:00,1/30/2021,,
2.64, --.--,10:45,1/30/2021,,
3.44, --.--,10:30,1/30/2021,,
4.77, --.--,10:15,1/30/2021,,
5.83, --.--,10:00,1/30/2021,,
4.97, --.--,9:45,1/30/2021,,
2.65, --.--,9:30,1/30/2021,,
3.37, --.--,9:15,1/30/2021,,
4.65, --.--,9:00,1/30/2021,,
5.73, --.--,8:45,1/30/2021,,
5.28, --.--,8:30,1/30/2021,,
2.88, --.--,8:15,1/30/2021,,
3.06, --.--,8:00,1/30/2021,,
4.28, --.--,7:45,1/30/2021,,
5.38, --.--,7:30,1/30/2021,,
5.91, --.--,7:15,1/30/2021,,
4.02, --.--,7:00,1/30/2021,,
2.59, --.--,6:45,1/30/2021,,
3.36, --.--,6:30,1/30/2021,,
4.42, --.--,6:15,1/30/2021,,
5.3, --.--,6:00,1/30/2021,,
5.91, --.--,5:45,1/30/2021,,
4.73, --.--,5:30,1/30/2021,,
3.07, --.--,5:15,1/30/2021,,
2.67, --.--,5:00,1/30/2021,,
3.56, --.--,4:45,1/30/2021,,
4.53, --.--,4:30,1/30/2021,,
5.4, --.--,4:15,1/30/2021,,
5.87, --.--,4:00,1/30/2021,,
4.61, --.--,3:45,1/30/2021,,
2.97, --.--,3:30,1/30/2021,,
2.71, --.--,3:15,1/30/2021,,
3.62, --.--,3:00,1/30/2021,,
4.58, --.--,2:45,1/30/2021,,
5.46, --.--,2:30,1/30/2021,,
5.82, --.--,2:15,1/30/2021,,
4.45, --.--,2:00,1/30/2021,,
2.85, --.--,1:45,1/30/2021,,
2.76, --.--,1:30,1/30/2021,,
3.67, --.--,1:15,1/30/2021,,
4.64, --.--,1:00,1/30/2021,,
5.51, --.--,0:45,1/30/2021,,
5.77, --.--,0:30,1/30/2021,,
4.31, --.--,0:15,1/30/2021,,
2.74, --.--,0:00,1/30/2021,,
2.83, --.--,23:45,1/29/2021,,
3.76, --.--,23:30,1/29/2021,,
4.72, --.--,23:15,1/29/2021,,
5.58, --.--,23:00,1/29/2021,,
5.7, --.--,22:45,1/29/2021,,
4.15, --.--,22:30,1/29/2021,,
2.64, --.--,22:15,1/29/2021,,
2.98, --.--,22:00,1/29/2021,,
3.95, --.--,21:45,1/29/2021,,
